images,labels
/home/hayes/repos/image-recognition-project/banana_recognition/data/images/img_017.jpg,/home/hayes/repos/image-recognition-project/banana_recognition/data/labels/train/img_017.txt
/home/hayes/repos/image-recognition-project/banana_recognition/data/images/img_018.jpg,/home/hayes/repos/image-recognition-project/banana_recognition/data/labels/train/img_018.txt
/home/hayes/repos/image-recognition-project/banana_recognition/data/images/img_019.jpg,/home/hayes/repos/image-recognition-project/banana_recognition/data/labels/train/img_019.txt
/home/hayes/repos/image-recognition-project/banana_recognition/data/images/img_020.jpg,/home/hayes/repos/image-recognition-project/banana_recognition/data/labels/train/img_020.txt
/home/hayes/repos/image-recognition-project/banana_recognition/data/images/img_021.jpeg,/home/hayes/repos/image-recognition-project/banana_recognition/data/labels/train/img_021.txt
/home/hayes/repos/image-recognition-project/banana_recognition/data/images/img_022.jpeg,/home/hayes/repos/image-recognition-project/banana_recognition/data/labels/train/img_022.txt
/home/hayes/repos/image-recognition-project/banana_recognition/data/images/img_023.jpeg,/home/hayes/repos/image-recognition-project/banana_recognition/data/labels/train/img_023.txt
/home/hayes/repos/image-recognition-project/banana_recognition/data/images/img_024.jpeg,/home/hayes/repos/image-recognition-project/banana_recognition/data/labels/train/img_024.txt
/home/hayes/repos/image-recognition-project/banana_recognition/data/images/img_025.jpeg,/home/hayes/repos/image-recognition-project/banana_recognition/data/labels/train/img_025.txt
/home/hayes/repos/image-recognition-project/banana_recognition/data/images/img_026.jpeg,/home/hayes/repos/image-recognition-project/banana_recognition/data/labels/train/img_026.txt
/home/hayes/repos/image-recognition-project/banana_recognition/data/images/img_027.jpeg,/home/hayes/repos/image-recognition-project/banana_recognition/data/labels/train/img_027.txt
/home/hayes/repos/image-recognition-project/banana_recognition/data/images/img_028.jpeg,/home/hayes/repos/image-recognition-project/banana_recognition/data/labels/train/img_028.txt
/home/hayes/repos/image-recognition-project/banana_recognition/data/images/img_029.jpeg,/home/hayes/repos/image-recognition-project/banana_recognition/data/labels/train/img_029.txt
/home/hayes/repos/image-recognition-project/banana_recognition/data/images/img_030.jpeg,/home/hayes/repos/image-recognition-project/banana_recognition/data/labels/train/img_030.txt
/home/hayes/repos/image-recognition-project/banana_recognition/data/images/img_031.jpeg,/home/hayes/repos/image-recognition-project/banana_recognition/data/labels/train/img_031.txt
/home/hayes/repos/image-recognition-project/banana_recognition/data/images/img_032.jpeg,/home/hayes/repos/image-recognition-project/banana_recognition/data/labels/train/img_032.txt
/home/hayes/repos/image-recognition-project/banana_recognition/data/images/img_033.jpeg,/home/hayes/repos/image-recognition-project/banana_recognition/data/labels/train/img_033.txt
/home/hayes/repos/image-recognition-project/banana_recognition/data/images/img_034.jpeg,/home/hayes/repos/image-recognition-project/banana_recognition/data/labels/train/img_034.txt
/home/hayes/repos/image-recognition-project/banana_recognition/data/images/img_035.jpeg,/home/hayes/repos/image-recognition-project/banana_recognition/data/labels/train/img_035.txt
/home/hayes/repos/image-recognition-project/banana_recognition/data/images/img_036.jpeg,/home/hayes/repos/image-recognition-project/banana_recognition/data/labels/train/img_036.txt
/home/hayes/repos/image-recognition-project/banana_recognition/data/images/img_037.jpg,/home/hayes/repos/image-recognition-project/banana_recognition/data/labels/train/img_037.txt
/home/hayes/repos/image-recognition-project/banana_recognition/data/images/img_038.jpg,/home/hayes/repos/image-recognition-project/banana_recognition/data/labels/train/img_038.txt
/home/hayes/repos/image-recognition-project/banana_recognition/data/images/img_039.jpg,/home/hayes/repos/image-recognition-project/banana_recognition/data/labels/train/img_039.txt
/home/hayes/repos/image-recognition-project/banana_recognition/data/images/img_040.jpg,/home/hayes/repos/image-recognition-project/banana_recognition/data/labels/train/img_040.txt
/home/hayes/repos/image-recognition-project/banana_recognition/data/images/img_041.jpg,/home/hayes/repos/image-recognition-project/banana_recognition/data/labels/train/img_041.txt
/home/hayes/repos/image-recognition-project/banana_recognition/data/images/img_042.jpg,/home/hayes/repos/image-recognition-project/banana_recognition/data/labels/train/img_042.txt
/home/hayes/repos/image-recognition-project/banana_recognition/data/images/img_043.jpg,/home/hayes/repos/image-recognition-project/banana_recognition/data/labels/train/img_043.txt
/home/hayes/repos/image-recognition-project/banana_recognition/data/images/img_044.jpg,/home/hayes/repos/image-recognition-project/banana_recognition/data/labels/train/img_044.txt
/home/hayes/repos/image-recognition-project/banana_recognition/data/images/img_045.jpg,/home/hayes/repos/image-recognition-project/banana_recognition/data/labels/train/img_045.txt
/home/hayes/repos/image-recognition-project/banana_recognition/data/images/img_046.jpg,/home/hayes/repos/image-recognition-project/banana_recognition/data/labels/train/img_046.txt
/home/hayes/repos/image-recognition-project/banana_recognition/data/images/img_047.jpg,/home/hayes/repos/image-recognition-project/banana_recognition/data/labels/train/img_047.txt
/home/hayes/repos/image-recognition-project/banana_recognition/data/images/img_048.jpg,/home/hayes/repos/image-recognition-project/banana_recognition/data/labels/train/img_048.txt
/home/hayes/repos/image-recognition-project/banana_recognition/data/images/img_049.jpg,/home/hayes/repos/image-recognition-project/banana_recognition/data/labels/train/img_049.txt
/home/hayes/repos/image-recognition-project/banana_recognition/data/images/img_050.jpg,/home/hayes/repos/image-recognition-project/banana_recognition/data/labels/train/img_050.txt
/home/hayes/repos/image-recognition-project/banana_recognition/data/images/img_051.jpg,/home/hayes/repos/image-recognition-project/banana_recognition/data/labels/train/img_051.txt
/home/hayes/repos/image-recognition-project/banana_recognition/data/images/img_052.jpeg,/home/hayes/repos/image-recognition-project/banana_recognition/data/labels/train/img_052.txt
/home/hayes/repos/image-recognition-project/banana_recognition/data/images/img_053.jpeg,/home/hayes/repos/image-recognition-project/banana_recognition/data/labels/train/img_053.txt
/home/hayes/repos/image-recognition-project/banana_recognition/data/images/img_054.jpeg,/home/hayes/repos/image-recognition-project/banana_recognition/data/labels/train/img_054.txt
/home/hayes/repos/image-recognition-project/banana_recognition/data/images/img_055.jpeg,/home/hayes/repos/image-recognition-project/banana_recognition/data/labels/train/img_055.txt
/home/hayes/repos/image-recognition-project/banana_recognition/data/images/img_056.jpeg,/home/hayes/repos/image-recognition-project/banana_recognition/data/labels/train/img_056.txt
/home/hayes/repos/image-recognition-project/banana_recognition/data/images/img_057.jpeg,/home/hayes/repos/image-recognition-project/banana_recognition/data/labels/train/img_057.txt
/home/hayes/repos/image-recognition-project/banana_recognition/data/images/img_058.jpeg,/home/hayes/repos/image-recognition-project/banana_recognition/data/labels/train/img_058.txt
/home/hayes/repos/image-recognition-project/banana_recognition/data/images/img_059.jpeg,/home/hayes/repos/image-recognition-project/banana_recognition/data/labels/train/img_059.txt
/home/hayes/repos/image-recognition-project/banana_recognition/data/images/img_060.jpeg,/home/hayes/repos/image-recognition-project/banana_recognition/data/labels/train/img_060.txt
/home/hayes/repos/image-recognition-project/banana_recognition/data/images/img_061.jpeg,/home/hayes/repos/image-recognition-project/banana_recognition/data/labels/train/img_061.txt
/home/hayes/repos/image-recognition-project/banana_recognition/data/images/img_062.jpeg,/home/hayes/repos/image-recognition-project/banana_recognition/data/labels/train/img_062.txt
/home/hayes/repos/image-recognition-project/banana_recognition/data/images/img_063.jpeg,/home/hayes/repos/image-recognition-project/banana_recognition/data/labels/train/img_063.txt
/home/hayes/repos/image-recognition-project/banana_recognition/data/images/img_064.jpeg,/home/hayes/repos/image-recognition-project/banana_recognition/data/labels/train/img_064.txt
/home/hayes/repos/image-recognition-project/banana_recognition/data/images/img_065.jpeg,/home/hayes/repos/image-recognition-project/banana_recognition/data/labels/train/img_065.txt
/home/hayes/repos/image-recognition-project/banana_recognition/data/images/img_066.jpeg,/home/hayes/repos/image-recognition-project/banana_recognition/data/labels/train/img_066.txt
/home/hayes/repos/image-recognition-project/banana_recognition/data/images/img_067.jpeg,/home/hayes/repos/image-recognition-project/banana_recognition/data/labels/train/img_067.txt
/home/hayes/repos/image-recognition-project/banana_recognition/data/images/img_068.jpeg,/home/hayes/repos/image-recognition-project/banana_recognition/data/labels/train/img_068.txt
/home/hayes/repos/image-recognition-project/banana_recognition/data/images/img_069.jpeg,/home/hayes/repos/image-recognition-project/banana_recognition/data/labels/train/img_069.txt
/home/hayes/repos/image-recognition-project/banana_recognition/data/images/img_070.jpeg,/home/hayes/repos/image-recognition-project/banana_recognition/data/labels/train/img_070.txt
/home/hayes/repos/image-recognition-project/banana_recognition/data/images/img_071.jpeg,/home/hayes/repos/image-recognition-project/banana_recognition/data/labels/train/img_071.txt
/home/hayes/repos/image-recognition-project/banana_recognition/data/images/img_072.jpeg,/home/hayes/repos/image-recognition-project/banana_recognition/data/labels/train/img_072.txt
/home/hayes/repos/image-recognition-project/banana_recognition/data/images/img_073.jpeg,/home/hayes/repos/image-recognition-project/banana_recognition/data/labels/train/img_073.txt
/home/hayes/repos/image-recognition-project/banana_recognition/data/images/img_074.jpeg,/home/hayes/repos/image-recognition-project/banana_recognition/data/labels/train/img_074.txt
/home/hayes/repos/image-recognition-project/banana_recognition/data/images/img_075.jpeg,/home/hayes/repos/image-recognition-project/banana_recognition/data/labels/train/img_075.txt
/home/hayes/repos/image-recognition-project/banana_recognition/data/images/img_076.jpeg,/home/hayes/repos/image-recognition-project/banana_recognition/data/labels/train/img_076.txt
/home/hayes/repos/image-recognition-project/banana_recognition/data/images/img_077.jpeg,/home/hayes/repos/image-recognition-project/banana_recognition/data/labels/train/img_077.txt
/home/hayes/repos/image-recognition-project/banana_recognition/data/images/img_078.jpeg,/home/hayes/repos/image-recognition-project/banana_recognition/data/labels/train/img_078.txt
/home/hayes/repos/image-recognition-project/banana_recognition/data/images/img_079.jpeg,/home/hayes/repos/image-recognition-project/banana_recognition/data/labels/train/img_079.txt
/home/hayes/repos/image-recognition-project/banana_recognition/data/images/img_080.jpeg,/home/hayes/repos/image-recognition-project/banana_recognition/data/labels/train/img_080.txt
/home/hayes/repos/image-recognition-project/banana_recognition/data/images/img_081.jpeg,/home/hayes/repos/image-recognition-project/banana_recognition/data/labels/train/img_081.txt
/home/hayes/repos/image-recognition-project/banana_recognition/data/images/img_082.jpg,/home/hayes/repos/image-recognition-project/banana_recognition/data/labels/train/img_082.txt
/home/hayes/repos/image-recognition-project/banana_recognition/data/images/img_083.jpg,/home/hayes/repos/image-recognition-project/banana_recognition/data/labels/train/img_083.txt
/home/hayes/repos/image-recognition-project/banana_recognition/data/images/img_084.jpg,/home/hayes/repos/image-recognition-project/banana_recognition/data/labels/train/img_084.txt
/home/hayes/repos/image-recognition-project/banana_recognition/data/images/img_085.jpg,/home/hayes/repos/image-recognition-project/banana_recognition/data/labels/train/img_085.txt
/home/hayes/repos/image-recognition-project/banana_recognition/data/images/img_086.jpg,/home/hayes/repos/image-recognition-project/banana_recognition/data/labels/train/img_086.txt
/home/hayes/repos/image-recognition-project/banana_recognition/data/images/img_087.jpg,/home/hayes/repos/image-recognition-project/banana_recognition/data/labels/train/img_087.txt
/home/hayes/repos/image-recognition-project/banana_recognition/data/images/img_088.jpg,/home/hayes/repos/image-recognition-project/banana_recognition/data/labels/train/img_088.txt
/home/hayes/repos/image-recognition-project/banana_recognition/data/images/img_089.jpg,/home/hayes/repos/image-recognition-project/banana_recognition/data/labels/train/img_089.txt
/home/hayes/repos/image-recognition-project/banana_recognition/data/images/img_090.jpg,/home/hayes/repos/image-recognition-project/banana_recognition/data/labels/train/img_090.txt
/home/hayes/repos/image-recognition-project/banana_recognition/data/images/img_091.jpg,/home/hayes/repos/image-recognition-project/banana_recognition/data/labels/train/img_091.txt
/home/hayes/repos/image-recognition-project/banana_recognition/data/images/img_092.jpg,/home/hayes/repos/image-recognition-project/banana_recognition/data/labels/train/img_092.txt
/home/hayes/repos/image-recognition-project/banana_recognition/data/images/img_093.jpg,/home/hayes/repos/image-recognition-project/banana_recognition/data/labels/train/img_093.txt
/home/hayes/repos/image-recognition-project/banana_recognition/data/images/img_094.jpg,/home/hayes/repos/image-recognition-project/banana_recognition/data/labels/train/img_094.txt
/home/hayes/repos/image-recognition-project/banana_recognition/data/images/img_095.jpg,/home/hayes/repos/image-recognition-project/banana_recognition/data/labels/train/img_095.txt
/home/hayes/repos/image-recognition-project/banana_recognition/data/images/img_096.jpg,/home/hayes/repos/image-recognition-project/banana_recognition/data/labels/train/img_096.txt
/home/hayes/repos/image-recognition-project/banana_recognition/data/images/img_097.jpeg,/home/hayes/repos/image-recognition-project/banana_recognition/data/labels/train/img_097.txt
/home/hayes/repos/image-recognition-project/banana_recognition/data/images/img_098.jpeg,/home/hayes/repos/image-recognition-project/banana_recognition/data/labels/train/img_098.txt
/home/hayes/repos/image-recognition-project/banana_recognition/data/images/img_099.jpeg,/home/hayes/repos/image-recognition-project/banana_recognition/data/labels/train/img_099.txt
/home/hayes/repos/image-recognition-project/banana_recognition/data/images/img_100.jpeg,/home/hayes/repos/image-recognition-project/banana_recognition/data/labels/train/img_100.txt
